paper_title	paper_id	is_accessible	has_feature_summary
Tumor draining lymph nodes connected to cold triple-negative breast cancers are characterized by Th2-associated microenvironment	39366933	full_text	yes
Stromal cell diversity associated with immune evasion in human triple-negative breast cancer	32790115	full_text	yes
Single-cell atlas reveals a distinct immune profile fostered by T cell-B cell crosstalk in triple negative breast cancer	37158690	full_text	yes
Phase II Clinical Trial of Pembrolizumab and Chemotherapy Reveals Distinct Transcriptomic Profiles by Radiologic Response in Metastatic Triple-Negative Breast Cancer	37882661	full_text	yes
A single-cell map of intratumoral changes during anti-PD1 treatment of patients with breast cancer	33958794	full_text	yes
Immunologic Factors Associated with Differential Response to Neoadjuvant Chemoimmunotherapy in Triple-Negative Breast Cancer	38793063	full_text	yes
Association of potential biomarkers with clinical outcomes in metastatic triple-negative breast cancer treated with pembrolizumab or chemotherapy	10.1038/s41523-025-00814-y	full_text	yes
Association Between Biomarkers and Clinical Outcomes of Pembrolizumab Monotherapy in Patients With Metastatic Triple-Negative Breast Cancer: KEYNOTE-086 Exploratory Analysis	37099733	abstract_only	yes
Tumor immune microenvironment and genomic evolution in a patient with metastatic triple negative breast cancer and a complete response to atezolizumab	31647026	full_text	no
A randomized phase 2 study of neoadjuvant carboplatin and paclitaxel with or without atezolizumab in triple negative breast cancer (TNBC) - NCI 10013	36585404	abstract_only	no
